Player,Age,Position,Teams,Games Played,Minutes Played,Regular Season PER,Postseason PER,rsPCP,rsPCP_Adjusted,psPCP,TPS,rsPIM,psPIM
Shaquille O'Neal,27,C,LAL,79,3163,30.6,30.5,0.169,0.169,0.223,0.844,138.1,188.2
Vince Carter,23,SF,TOR,82,3126,23.4,18.2,0.138,0.138,0.281,0.0,75.8,0.0
Karl Malone,36,PF,UTA,82,2947,27.1,25.8,0.162,0.162,0.237,0.3,108.7,71.1
Allen Iverson,24,SG,PHI,70,2853,20.0,16.6,0.1,0.1,0.13,0.386,59.8,50.2
Gary Payton,31,PG,SEA,82,3425,23.6,22.2,0.13,0.13,0.315,0.222,71.4,69.9
Jerry Stackhouse,25,SG,DET,82,3148,18.9,15.3,0.117,0.117,1.0,0.0,59.9,0.0
Grant Hill,27,SF,DET,74,2776,24.5,9.5,0.151,0.151,0.621,0.0,77.3,0.0
Kevin Garnett,23,PF,MIN,81,3243,23.6,20.5,0.143,0.143,0.322,0.125,87.2,40.2
Chris Webber,26,PF,SAC,75,2880,23.4,27.1,0.131,0.131,0.257,0.222,70.3,57.1
Ray Allen,24,SG,MIL,82,3070,20.6,22.7,0.109,0.109,0.227,0.222,55.8,50.4
Alonzo Mourning,29,C,MIA,79,2748,25.8,23.8,0.133,0.133,0.221,0.471,84.3,104.1
Glenn Robinson,27,SF,MIL,81,2909,17.8,11.2,0.094,0.094,0.112,0.222,48.1,24.9
Allan Houston,28,SG,NYK,82,3169,16.5,13.8,0.108,0.108,0.126,0.58,65.9,73.1
Latrell Sprewell,29,SF,NYK,82,3276,15.7,15.3,0.103,0.103,0.14,0.58,62.8,81.2
Sam Cassell,30,PG,MIL,81,2899,21.1,18.5,0.112,0.112,0.185,0.222,57.3,41.1
Kobe Bryant,21,SG,LAL,66,2524,21.7,19.3,0.12,0.12,0.141,0.844,98.0,119.0
Clifford Robinson,33,SF,PHO,80,2839,17.3,14.3,0.083,0.083,0.144,0.323,53.6,46.5
Reggie Miller,34,SG,IND,81,2987,17.3,21.8,0.091,0.091,0.157,0.689,62.2,108.2
Jalen Rose,27,SF,IND,80,2978,16.7,15.9,0.088,0.088,0.115,0.689,60.1,79.2
Eddie Jones,28,SG,CHH,72,2807,19.9,18.4,0.108,0.108,0.231,0.125,64.6,28.9
David Robinson,34,C,SAS,80,2557,24.6,25.6,0.126,0.126,0.366,0.125,81.4,45.8
Jamal Mashburn,27,SF,MIA,76,2828,15.4,13.1,0.079,0.079,0.122,0.471,50.1,57.5
Rasheed Wallace,25,PF,POR,81,2845,18.1,19.4,0.099,0.099,0.142,0.65,71.3,92.3
Vin Baker,28,C,SEA,79,2849,14.0,10.2,0.077,0.077,0.145,0.222,42.3,32.2
Glen Rice,32,SF,LAL,80,2530,16.2,12.1,0.089,0.089,0.089,0.844,72.7,75.1
Derrick Coleman,32,PF,CHH,74,2347,18.9,22.8,0.103,0.103,0.287,0.125,61.6,35.9
Larry Hughes,21,SG,"PHI, GSW",82,2324,15.4,,"0.07, 0.062",0.067,0.0,0.0,31.1,0.0
Steve Smith,30,SG,POR,82,2689,17.3,18.5,0.095,0.095,0.135,0.65,68.4,87.8
Tracy McGrady,20,SF,TOR,79,2462,20.0,15.3,0.118,0.118,0.236,0.0,64.8,0.0
Terrell Brandon,29,PG,MIN,71,2587,20.8,23.3,0.126,0.126,0.366,0.125,76.9,45.8
Bryon Russell,29,SF,UTA,82,2900,15.1,14.2,0.09,0.09,0.131,0.3,60.4,39.3
Ron Mercer,23,SG,"DEN, ORL",68,2377,11.8,,"0.063, 0.058",0.061,0,0.0,27.9,0.0
Rodney Rogers,28,PF,PHO,82,2286,17.1,16.9,0.082,0.082,0.17,0.323,53.0,54.9
David Wesley,29,PG,CHH,82,2760,15.0,10.3,0.082,0.082,0.13,0.125,49.0,16.2
Lindsey Hunter,29,PG,DET,82,2919,13.2,5.6,0.081,0.081,0.366,0.0,41.5,0.0
Scottie Pippen,34,SF,POR,82,2749,16.4,17.5,0.09,0.09,0.128,0.65,64.8,83.2
Rik Smits,33,C,IND,79,1852,17.3,17.2,0.091,0.091,0.124,0.689,62.2,85.4
Anfernee Hardaway,28,SG,PHO,60,2253,17.9,18.3,0.086,0.086,0.184,0.323,55.6,59.4
Chris Gatling,32,PF,"ORL, DEN",85,1811,17.1,,"0.085, 0.08",0.083,0,0.0,38.6,0.0
Vlade Divac,31,C,SAC,82,2374,18.0,12.6,0.101,0.101,0.119,0.222,54.2,26.4
Christian Laettner,30,C,DET,82,2443,14.8,8.6,0.091,0.091,0.562,0.0,46.6,0.0
Jason Williams,24,PG,SAC,81,2760,11.6,9.8,0.065,0.065,0.093,0.222,34.9,20.6
John Stockton,37,PG,UTA,82,2432,22.4,18.4,0.134,0.134,0.169,0.3,89.9,50.7
Elden Campbell,31,C,CHH,78,2538,14.6,13.8,0.08,0.08,0.174,0.125,47.8,21.8
Damon Stoudamire,26,PG,POR,78,2372,15.5,12.1,0.085,0.085,0.088,0.65,61.2,57.2
Jason Kidd,26,PG,PHO,67,2616,18.4,14.3,0.088,0.088,0.144,0.323,56.8,46.5
Jeff Hornacek,36,SG,UTA,77,2133,16.3,13.5,0.098,0.098,0.124,0.3,65.8,37.2
Anthony Mason,33,SF,CHH,82,3133,14.4,14.2,0.078,0.078,0.179,0.125,46.6,22.4
Brent Barry,28,SG,SEA,80,2726,14.6,9.7,0.081,0.081,0.138,0.222,44.5,30.6
Tim Thomas,22,SF,MIL,80,2093,14.7,22.6,0.078,0.078,0.226,0.222,39.9,50.2
Ruben Patterson,24,SF,SEA,81,2097,18.8,19.9,0.104,0.104,0.282,0.222,57.1,0.0
Patrick Ewing,37,C,NYK,62,2035,16.9,17.9,0.11,0.11,0.164,0.58,67.1,95.1
Malik Sealy,29,SF,MIN,82,2392,14.4,12.0,0.087,0.087,0.189,0.125,53.1,23.6
Avery Johnson,34,PG,SAS,82,2571,14.8,11.8,0.076,0.076,0.169,0.125,49.1,21.1
Antonio Davis,31,C,TOR,79,2479,15.1,18.1,0.089,0.089,0.28,0.0,48.9,0.0
Doug Christie,29,SG,TOR,73,2264,15.8,5.1,0.093,0.093,0.079,0.0,51.1,0.0
Wally Szczerbiak,22,SF,MIN,73,2171,15.4,6.9,0.093,0.093,0.108,0.125,56.7,0.0
Austin Croshere,24,PF,IND,81,1885,16.7,17.5,0.088,0.088,0.126,0.689,60.1,86.8
Tyrone Hill,31,PF,PHI,68,2155,14.6,15.4,0.073,0.073,0.121,0.386,43.7,46.7
Anthony Peeler,30,SG,MIN,82,2073,13.2,14.1,0.08,0.08,0.222,0.125,48.8,0.0
Corliss Williamson,26,SF,SAC,76,1707,14.0,15.6,0.078,0.078,0.148,0.222,41.9,0.0
Nick Anderson,32,SG,SAC,72,2094,11.8,7.8,0.066,0.066,0.074,0.222,35.4,16.4
Arvydas Sabonis,35,C,POR,66,1688,20.3,14.9,0.112,0.112,0.109,0.65,80.6,70.8
Joe Smith,24,C,MIN,78,1975,14.4,7.7,0.087,0.087,0.121,0.125,53.1,0.0
P.J. Brown,30,PF,MIA,80,2302,15.3,10.6,0.079,0.079,0.098,0.471,50.1,46.2
Larry Johnson,30,PF,NYK,70,2281,12.4,11.4,0.081,0.081,0.104,0.58,49.4,60.3
Dale Davis,30,C,IND,74,2127,17.4,16.4,0.091,0.091,0.118,0.689,62.2,81.3
Travis Best,27,PG,IND,82,1691,16.5,17.0,0.087,0.087,0.123,0.689,59.4,84.7
George Lynch,29,SF,PHI,75,2416,13.7,10.2,0.069,0.069,0.08,0.386,41.3,30.9
Howard Eisley,27,PG,UTA,82,2096,11.5,5.3,0.069,0.069,0.049,0.3,46.3,14.7
Tariq Abdul-Wahad,25,SG,"ORL, DEN",61,1578,10.8,,"0.071, 0.051",0.066,0,0.0,32.1,0.0
Tim Hardaway,33,PG,MIA,52,1672,16.4,8.7,0.084,0.084,0.081,0.471,53.3,38.2
Jerome Williams,26,PF,DET,82,2102,17.9,9.8,0.11,0.11,0.641,0.0,56.3,0.0
Theo Ratliff,26,PF,PHI,57,1795,16.7,17.0,0.084,0.084,0.133,0.386,50.2,51.3
Rashard Lewis,20,SF,SEA,82,1575,16.5,18.2,0.091,0.091,0.258,0.222,50.0,57.3
Mark Jackson,34,PG,IND,81,2190,17.7,17.0,0.093,0.093,0.123,0.689,63.5,84.7
Aaron McKie,27,SG,PHI,82,1952,13.2,17.5,0.066,0.066,0.137,0.386,39.5,52.9
Eric Snow,26,PG,PHI,82,2866,12.8,16.2,0.064,0.064,0.127,0.386,38.3,49.0
Terry Porter,36,PG,SAS,68,1613,16.6,1.1,0.085,0.085,0.016,0.125,54.9,0.0
Kurt Thomas,27,PF,NYK,80,1971,13.6,9.8,0.089,0.089,0.09,0.58,54.3,52.2
Matt Geiger,30,C,PHI,65,1406,13.9,24.0,0.07,0.07,0.188,0.386,41.9,72.6
Horace Grant,34,PF,SEA,76,2688,11.7,10.2,0.065,0.065,0.145,0.222,35.7,32.2
Kevin Willis,37,PF,TOR,79,1679,12.3,16.9,0.072,0.072,0.261,0.0,39.5,0.0
Marcus Camby,25,C,NYK,59,1548,19.0,10.6,0.124,0.124,0.097,0.58,75.6,56.3
Mario Elie,36,SF,SAS,79,2217,10.4,8.5,0.053,0.053,0.121,0.125,34.2,15.1
Bonzi Wells,23,SF,POR,66,1162,17.3,17.0,0.095,0.095,0.124,0.65,68.4,80.6
Detlef Schrempf,37,SF,POR,77,1662,14.5,13.3,0.08,0.08,0.097,0.65,57.6,63.1
Clarence Weatherspoon,29,PF,MIA,78,1615,16.2,12.2,0.083,0.083,0.113,0.471,52.6,53.2
Ron Harper,36,PG,LAL,80,2042,12.0,13.6,0.066,0.066,0.1,0.844,53.9,84.4
Terry Mills,32,PF,DET,82,1842,11.0,11.5,0.068,0.068,0.752,0.0,34.8,0.0
Charles Oakley,36,PF,TOR,80,2431,10.1,13.1,0.059,0.059,0.202,0.0,32.4,0.0
Sam Perkins,38,PF,IND,81,1620,12.1,8.6,0.064,0.064,0.062,0.689,43.7,42.7
Rick Fox,30,SF,LAL,82,1473,11.7,10.3,0.065,0.065,0.075,0.844,53.1,63.3
Chris Carr,25,SF,"GSW, CHI",57,1166,10.8,,"0.045, 0.057",0.056,0,0.0,11.6,0.0
Charlie Ward,29,PG,NYK,72,1986,13.6,20.3,0.089,0.089,0.186,0.58,54.3,107.9
Shawn Marion,21,SF,PHO,51,1260,17.1,13.8,0.082,0.082,0.139,0.323,53.0,44.9
Scott Williams,31,C,MIL,68,1488,15.6,25.8,0.082,0.082,0.258,0.222,42.0,0.0
John Starks,34,SG,"GSW, CHI",37,1190,12.5,,"0.05, 0.066",0.052,0,0.0,11.8,0.0
Greg Anthony,32,PG,POR,82,1548,13.0,11.9,0.071,0.071,0.087,0.65,51.1,56.6
Jaren Jackson,32,SG,SAS,81,1691,9.7,3.3,0.05,0.05,0.047,0.125,32.3,0.0
Dell Curry,35,SG,TOR,67,1095,14.9,9.0,0.088,0.088,0.139,0.0,48.3,0.0
Michael Curry,31,SG,DET,82,1611,8.6,11.4,0.053,0.053,0.745,0.0,27.1,0.0
Dan Majerle,34,SG,MIA,69,2308,11.4,14.2,0.059,0.059,0.132,0.471,37.4,62.2
Anthony Carter,24,PG,MIA,79,1859,11.0,14.0,0.057,0.057,0.13,0.471,36.1,61.2
Malik Rose,25,PF,SAS,74,1341,13.2,7.1,0.068,0.068,0.101,0.125,43.9,0.0
Jon Barry,30,SG,SAC,62,1281,15.9,18.5,0.089,0.089,0.175,0.222,47.8,38.8
